my.baidu.com                  	111.206.223.136
search.baidu.com              	180.149.131.33
forum.baidu.com               	10.26.109.19
wenku.baidu.com               	119.75.222.18
people.baidu.com              	180.149.131.33
pp.baidu.com                  	106.39.162.253
i.baidu.com                   	61.135.185.175
passport.baidu.com            	119.75.222.130
um.baidu.com                  	61.135.162.184
kk.baidu.com                  	119.75.222.131
app.baidu.com                 	112.80.255.227, 123.125.112.192
admin.baidu.com               	10.26.109.19
maven.baidu.com               	10.48.57.24
ss.baidu.com                  	153.3.236.95, 61.135.186.173
user.baidu.com                	10.242.113.33
a.baidu.com                   	112.80.248.124, 123.125.114.38
h2.baidu.com                  	180.149.133.110
web.baidu.com                 	10.48.30.87
news.baidu.com                	119.75.222.187
games.baidu.com               	123.125.114.89
info.baidu.com                	119.75.222.85
dev.baidu.com                 	112.80.248.186
music.baidu.com               	180.76.141.217
pay.baidu.com                 	61.135.186.206
support.baidu.com             	112.80.248.234, 163.177.151.145, 202.108.23.221
bip.baidu.com                 	10.36.48.24
u.baidu.com                   	61.135.185.111
union.baidu.com               	61.135.162.184
